grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/46,ECRET,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,26221,2023,Norway,European Centre for Returns,European Centre for Returns
2023/54,ECRET,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/ECRET/01,1875,2023,Bulgaria,European Centre for Returns,European Centre for Returns
2023/55,ECRET,National Police Commissioner,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/ECRET/01,13466,2023,Iceland,European Centre for Returns,European Centre for Returns
2023/57,ECRET,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2023/ECRET/01,55074,2023,Luxembourg,European Centre for Returns,European Centre for Returns
2023/72,ECRET,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2023/ECRET/01,65574,2023,Switzerland,European Centre for Returns,European Centre for Returns
2023/73,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,1754.8,2023,Albania,European Centre for Returns,European Centre for Returns
2023/74,ECRET,Swedish Migration Agency,"Slottsgatan 82, 601 70 Norrköping, Sweden",2023/ECRET/01,274140.67999999993,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/78,ECRET,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/ECRET/01,24080,2023,Romania,European Centre for Returns,European Centre for Returns
2023/89,ECRET,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/ECRET/01,3106,2023,Malta,European Centre for Returns,European Centre for Returns
2023/134,ECRET,European Technology and Training Centre (NGO),"Nawroz Street, PO Box 45     44001, Erbil, Iraq",2023/CFP/POST/01,4739850,2023,Iraq,2023/CFP/POST/01,European Centre for Returns
2023/141,ECRET,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation","Building 57, Road 26, DHA 1, Sector F, Islamabad 3061066-4",2023/CFP/POST/01,1219819,2023,Pakistan,2023/CFP/POST/01,European Centre for Returns
2023/142,ECRET,Life Makers Foundation,3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025,2023/CFP/POST/01,132611,2023,Egypt,2023/CFP/POST/01,European Centre for Returns
2023/157,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,11128,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/167,ECRET,International Returns & Reintegration Assistance,"Breydelstraat 36, 1040 Brussels, Belgium",2023/CFP/POST/01,6332100,2023,Belgium,2023/CFP/POST/01,European Centre for Returns
2023/172,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,8688.4,2023,Albania,European Centre for Returns,European Centre for Returns
2023/176,ECRET,"Caritas International Belgium, Non-profit association",rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,5468240,2023,Belgium,2023/CFP/POST/01,European Centre for Returns
2023/178,ECRET,"Caritas International Belgium, Non-profit association",rue de la Charité 43 ; 1210 Brussels,2023/CFP/POST/01,226510,2023,Belgium,2023/CFP/POST/01,European Centre for Returns
2023/223,ECRET,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2023/ECRET/01,6463,2023,Croatia,European Centre for Returns,European Centre for Returns
2023/227,ECRET,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2023/ECRET/01,95906,2023,Germany,European Centre for Returns,European Centre for Returns
2023/237,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,209566,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/259,ECRET,Federal Police Regional Office Bad Bramstedt,"Raaberg 6, 24576 Bad Bramstedt",2023/ECRET/01,10566082,2023,Germany,European Centre for Returns,European Centre for Returns
2023/260,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,46092,2023,Poland,European Centre for Returns,European Centre for Returns
2023/261,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,9482,2023,Slovenia,European Centre for Returns,European Centre for Returns
2023/266,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4710,2023,Portugal,European Centre for Returns,European Centre for Returns
2023/267,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/268,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,168815,2023,Finland,European Centre for Returns,European Centre for Returns
2023/269,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,923346,2023,France,European Centre for Returns,European Centre for Returns
2023/270,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2023/ECRET/01,10618,2023,Hungary,European Centre for Returns,European Centre for Returns
2023/272,ECRET,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"KARTUIZERSSTRAAT 21, 1000 Brussels – Belgium",2023/ECRET/01,4276,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/277,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1385606,2023,Spain,European Centre for Returns,European Centre for Returns
2023/278,ECRET,Bulgarian Ministry of Interior,"48 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/ECRET/01,3665,2023,Bulgaria,European Centre for Returns,European Centre for Returns
2023/284,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/ECRET/01,22920,2023,Slovakia,European Centre for Returns,European Centre for Returns
2023/285,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,818910,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/286,ECRET,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2023/ECRET/01,404400,2023,Austria,European Centre for Returns,European Centre for Returns
2023/288,ECRET,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,11222,2023,Czech Republic,European Centre for Returns,European Centre for Returns
2023/289,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/ECRET/01,3651449,2023,Italy,European Centre for Returns,European Centre for Returns
2023/300,ECRET,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2023/ECRET/01,4145,2023,Luxembourg,European Centre for Returns,European Centre for Returns
2023/301,ECRET,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,238909,2023,Norway,European Centre for Returns,European Centre for Returns
2023/307,ECRET,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,31038,2023,Denmark,European Centre for Returns,European Centre for Returns
2023/311,ECRET,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2023/ECRET/01,12277,2023,Malta,European Centre for Returns,European Centre for Returns
2023/312,ECRET,"Cyprus Police, Aliens and Immigration Unit","Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2023/ECRET/01,97664,2023,Cyprus,European Centre for Returns,European Centre for Returns
2023/313,ECRET,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/ECRET/01,5096,2023,Estonia,European Centre for Returns,European Centre for Returns
2023/315,ECRET,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,19458,2023,Lithuania,European Centre for Returns,European Centre for Returns
2023/318,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,13096.8,2023,Albania,European Centre for Returns,European Centre for Returns
2023/349,ECRET,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,11163,2023,Netherlands,European Centre for Returns,European Centre for Returns
2023/373,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,11128,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/375,ECRET,National Police Commissioner,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/ECRET/01,13466,2023,Iceland,European Centre for Returns,European Centre for Returns
2023/378,ECRET,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2023/ECRET/01,33696,2023,Switzerland,European Centre for Returns,European Centre for Returns
2023/385,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2023/ECRET/01,9333,2023,Hungary,European Centre for Returns,European Centre for Returns
2023/392,ECRET,German Federal Police,"Roonstraße 13, 56068 Koblenz",2023/ECRET/01,8201545,2023,Germany,European Centre for Returns,European Centre for Returns
2023/393,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,19022,2023,Poland,European Centre for Returns,European Centre for Returns
2023/394,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,19485,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/395,ECRET,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,33363,2023,Denmark,European Centre for Returns,European Centre for Returns
2023/396,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,10914,2023,Albania,European Centre for Returns,European Centre for Returns
2023/397,ECRET,Fedasil (Federaal agentschap voor de opvang van asielzoekers),"KARTUIZERSSTRAAT 21, 1000 Brussels – Belgium",2023/ECRET/01,3154,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/399,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,50948,2023,Finland,European Centre for Returns,European Centre for Returns
2023/400,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/ECRET/01,5817,2023,Slovakia,European Centre for Returns,European Centre for Returns
2023/402,ECRET,Bulgarian Ministry of Interior,"48 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/ECRET/01,3033,2023,Bulgaria,European Centre for Returns,European Centre for Returns
2023/404,ECRET,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2023/ECRET/01,707700,2023,Austria,European Centre for Returns,European Centre for Returns
2023/405,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1237868,2023,Spain,European Centre for Returns,European Centre for Returns
2023/406,ECRET,Swedish Prison and Probation Service,"SE-601 80 Norrköping, Sweden",2023/ECRET/01,1236877,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/408,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/ECRET/01,2531524,2023,Italy,European Centre for Returns,European Centre for Returns
2023/410,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,3816,2023,Portugal,European Centre for Returns,European Centre for Returns
2023/411,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/413,ECRET,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,5613,2023,Czech Republic,European Centre for Returns,European Centre for Returns
2023/417,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,18298.17,2023,Slovenia,European Centre for Returns,European Centre for Returns
2023/418,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,10186,2023,Slovenia,European Centre for Returns,European Centre for Returns
2023/419,ECRET,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,155540,2023,Cyprus,European Centre for Returns,European Centre for Returns
2023/424,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,511586,2023,France,European Centre for Returns,European Centre for Returns
2023/426,ECRET,General Inspectorate for Immigration,"15A Lt. col. Marinescu Constantin Street, Sector 5, Bucharest",2023/ECRET/01,29299,2023,Romania,European Centre for Returns,European Centre for Returns
2023/434,ECRET,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,106155,2023,Cyprus,European Centre for Returns,European Centre for Returns
2023/444,ECRET,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2023/ECRET/01,20278,2023,Luxembourg,European Centre for Returns,European Centre for Returns
2023/445,ECRET,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2023/ECRET/01,237289,2023,Switzerland,European Centre for Returns,European Centre for Returns
2023/447,ECRET,Swedish Policy Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,8363,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/448,ECRET,Bavarian State office for Asylum and Return,"St. Martin Straße 72, 81541 Munich",2023/ECRET/01,8700,2023,Germany,European Centre for Returns,European Centre for Returns
2023/454,ECRET,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,21737,2023,Norway,European Centre for Returns,European Centre for Returns
2023/460,ECRET,National Police Commissioner,"Skúlagata 21, IS-101 Reykjavik, Iceland",2023/ECRET/01,59168,2023,Iceland,European Centre for Returns,European Centre for Returns
2023/461,ECRET,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,73960,2023,Netherlands,European Centre for Returns,European Centre for Returns
2023/463,ECRET,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2023/ECRET/01,26832,2023,Germany,European Centre for Returns,European Centre for Returns
2023/464,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2023/ECRET/01,4365.6,2023,Albania,European Centre for Returns,European Centre for Returns
2023/465,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,11128,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/470,ECRET,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,5176,2023,Lithuania,European Centre for Returns,European Centre for Returns
2023/475,ECRET,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/ECRET/01,15823,2023,Estonia,European Centre for Returns,European Centre for Returns
2023/476,ECRET,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2023/ECRET/01,2302,2023,Portugal,European Centre for Returns,European Centre for Returns
2022/1,ECRET,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/ECRET/01,30588,2022,Lithuania,European Centre for Returns,European Centre for Returns
2022/2,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2022/ECRET/01,10017,2022,Slovenia,European Centre for Returns,European Centre for Returns
2022/4,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2022/ECRET/01,13060,2022,Belgium,European Centre for Returns,European Centre for Returns
2022/6,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2022/ECRET/01,1414500,2022,France,European Centre for Returns,European Centre for Returns
2022/7,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2022/ECRET/01,9244.8,2022,Albania,European Centre for Returns,European Centre for Returns
2022/8,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2022/ECRET/01,5696.68,2022,Georgia,European Centre for Returns,European Centre for Returns
2022/9,ECRET,State Secretariat for Migration,"Operations Center (OPC)
Postfach 314, CH-8058 Zürich-Flughafen, Switzerland",2022/ECRET/01,52467,2022,Switzerland,European Centre for Returns,European Centre for Returns
2022/11,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,115658,2022,Poland,European Centre for Returns,European Centre for Returns
2022/12,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,110838.41,2022,Poland,European Centre for Returns,European Centre for Returns
2022/13,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,182035.33,2022,Sweden,European Centre for Returns,European Centre for Returns
2022/14,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,753448,2022,Sweden,European Centre for Returns,European Centre for Returns
2022/15,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena, Portugal",2022/ECRET/01,14331,2022,Portugal,European Centre for Returns,European Centre for Returns
2022/16,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/ECRET/01,130991.62,2022,Poland,European Centre for Returns,European Centre for Returns
2022/17,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2022/ECRET/01,201115.21,2022,Sweden,European Centre for Returns,European Centre for Returns
2022/18,ECRET,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD",2022/ECRET/01,228058.04,2022,Netherlands,European Centre for Returns,European Centre for Returns
2022/19,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/ECRET/01,2628853,2022,Italy,European Centre for Returns,European Centre for Returns
2022/20,ECRET,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz, Germany",2022/ECRET/01,6806355,2022,Germany,European Centre for Returns,European Centre for Returns
2022/21,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2022/ECRET/01,742509,2022,Spain,European Centre for Returns,European Centre for Returns
2022/22,ECRET,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2022/ECRET/01,230626.96,2022,Finland,European Centre for Returns,European Centre for Returns
2022/23,ECRET,National Police Immigration Service,"Økern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2022/ECRET/01,191612.26,2022,Norway,European Centre for Returns,European Centre for Returns
2022/24,ECRET,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2022/ECRET/01,190693.05,2022,Estonia,European Centre for Returns,European Centre for Returns
2022/26,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2022/ECRET/01,200871,2022,Finland,European Centre for Returns,European Centre for Returns
2022/40,ECRET,National Police Commissioner,"Skúlagata 21, IS-101 Reykjavik, Iceland",2022/ECRET/01,11464,2022,Iceland,European Centre for Returns,European Centre for Returns
2022/41,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/ECRET/01,9312,2022,Slovakia,European Centre for Returns,European Centre for Returns
2022/66,ECRET,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2022/ECRET/01,23487,2022,Germany,European Centre for Returns,European Centre for Returns
2022/67,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2022/ECRET/01,9672.8,2022,Albania,European Centre for Returns,European Centre for Returns
2022/69,ECRET,Malta Police Force,"Calcedonius Sqr., Floriana, Malta",2022/ECRET/01,12090,2022,Malta,European Centre for Returns,European Centre for Returns
2022/79,ECRET,Hungarian National Police,"4-6. Teve utca, Budapest 1139, Hungary",2022/ECRET/01,16404,2022,Hungary,European Centre for Returns,European Centre for Returns
2022/92,ECRET,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2022/ECRET/01,149855,2022,Denmark,European Centre for Returns,European Centre for Returns
2022/94,ECRET,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7, Czech Republic",2022/ECRET/01,1316,2022,Czech Republic,European Centre for Returns,European Centre for Returns
2022/106/ECRET,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2022/ECRET/01,8399.61,2022,Georgia,European Centre for Returns,European Centre for Returns
2022/112,ECRET,Aparati i Drejtorisë së Policisë së Shtetit,"Bulevardi Ulevardi Bajram Curri, 240/1 TIRANA, Albania",2022/ECRET/01,9244.8,2022,Albania,European Centre for Returns,European Centre for Returns
2022/122,ECRET,Civil Registry and Migration Department (CRMD),"Sotiri Tsagari 9, 1478 Nicosia, Cyprus",2022/ECRET/01,60585,2022,Cyprus,European Centre for Returns,European Centre for Returns
2022/124,ECRET,"Caritas International Belgium, Non-profit association","Rue de la Charite 43, 1210 Brussels, Belgium",2022/CFP/POST/01,1500005,2022,Belgium,2022/CFP/POST/01,European Centre for Returns
2022/125,ECRET,European Technology and Training Centre (NGO),"F-1214  Nawroz Street, 44001, Erbil, Iraq",2022/CFP/POST/01,1617200,2022,Iraq,2022/CFP/POST/01,European Centre for Returns
2022/126,ECRET,Life Makers Foundation,"839/22.04.2018 3 Almashtal street- Elshishiny Devision- Corniche Elnile- Maadi Cairo 567710025, Egypt",2022/CFP/POST/01,108347,2022,Egypt,2022/CFP/POST/01,European Centre for Returns
2022/127,ECRET,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation","RJSC/DISTT RWP/89 Office 6, 3rd Floor, Block C, Spring North, Bahria Phase 7, Rawalpindi, Pakistan 3061066-4",2022/CFP/POST/01,303960,2022,Pakistan,2022/CFP/POST/01,European Centre for Returns
